Mission Type,Mode,Standard Deviation
Bugs & Errors,4.0,5.815360784390903
Data,5.0,3.6742346141747673
Duties preferences,3.0,6.2415159808439515
Enrichments,2.0,5.9206879207187955
Implementation Consultancy,11.0,15.848515343605253
Internal Project,7.0,18.184242262647807
None,2.0,10.564700810993486
Ops,11.0,12.864680330268607
Optimizations,2.0,13.23993638084384
Optiwiz,2.0,11.349476025817493
Preference designer,11.0,14.471497587473193
Preferences,2.0,10.716902060637251
SA infrastructure,3.0,10.235071298822426
Time definitions,2.0,3.0488447886789096
Vehicles preference,2.0,8.00734956516971
